Nombre,Cantidad,Impuesto,"Precio de venta","Precio de venta + impuestos","Lista de precios 1 (%)","Lista de precios 2 (%)","Lista de precios 3 (%)","Lista de precios 4 (%)"
"ADE Caps Acido graso",2,21,16015,19378,,,,
"agua oxigenada",8,0,1442,1442,,,,
"Agujas Cono Azul 23G  25/6",4,0,0,0,,,,
"Agujas Cono Verde Corta 21Gx1``",12,0,0,0,,,,
"Agujas Cono Verde Larga 40×08",5,0,0,0,,,,
"Agujas Naranjas 25Gx5/8``",11,0,0,0,,,,
alcohol,3,0,3197,3197,,,,
"Algodon 500 g",4,0,3824,3824,,,,
"Alicate chico",1,0,5220,5220,,,,
"Alicate grande",2,0,7920,7920,,,,
"Amoxicilina + clavulonico 70 ml",5,0,12006,12006,,,,
"amoxicilina con clavulanico 1000 mg",33,0,2475,2475,,,,
"Amoxicilina con clavulonico 90 ml susp",3,21,13050,15791,,,,
"Antiparasitario - Moxidex Plus CADA BLISTER",9,21,2004,2425,,,,
"Apetil M x 3 mg , mirtazapina",3,21,20329,24598,,,,
"Arnes Aclchado S; M; L",3,0,11880,11880,,,,
"Arnes acolchado Talle ""M"" ""L""",2,0,11880,11880,,,,
"Arnes acolchado Talle ""S""",3,0,11880,11880,,,,
"Arnes fantasia extra grande",1,0,17440,17440,,,,
"Arnes fantasia grande",1,0,14600,14600,,,,
"Arnes fantasia mediano",1,0,11780,11780,,,,
"Arnes gato",2,0,4680,4680,,,,
"Arnes gato con alas",2,0,5760,5760,,,,
"Arnes H liso ch",2,0,7800,7800,,,,
"Arnes H liso extra grande",3,0,13400,13400,,,,
"Arnes H liso grande",2,0,10800,10800,,,,
"Arnes regulable liso extra grande",2,0,12750,12750,,,,
"Arnes Regulable Mediano",4,0,7380,7380,,,,
"Artrosan inyectable 1 ml",10,0,20000,20000,,,,
"Aurix Cleancer 120 ml",2,21,6401,7745,,,,
"Bandeja Economica Mediana",3,0,5220,5220,,,,
"Bandeja sanitaria",3,0,7020,7020,,,,
"Bandeja Sanitaria con aro y palita",2,0,23200,23200,,,,
"basken  Plus",8,21,2647,3202,,,,
"Basken doble 20 . antiparasitario",1,21,2259,2733,,,,
"basken Doble 40",1,21,3293,3985,,,,
"Basken Doble 60",15,21,4169,5044,,,,
"Basken Full LC hasta 60 kg . Perros grandes",6,21,6050,7320,,,,
"Basken gato",4,21,3194,3865,,,,
"Basken Plus 10 kg - antiparasitario comp.",7,21,2223,2690,,,,
"Basken Suspension",9,21,5107,6179,,,,
"Bebedero dispenser para botella",2,0,2772,2772,,,,
"bebedero portatil 1/4 litro",2,0,2862,2862,,,,
"bebedero portatil grande",1,0,13072,13072,,,,
Bebederos,10,0,2160,2160,,,,
"Bio Clin gel antiplaca",2,21,10948,13247,,,,
"Bit Trio hasta 10",1,21,13284,16074,,,,
"Block Spino XS pulgas, perros y gatos",1,21,6212,7516,,,,
"Bombon de Higado",100,0,196,196,,,,
"Bozal canasta n 3",1,0,5220,5220,,,,
"Bozal canasta n 4",1,0,5760,5760,,,,
"Bozal canasta n 5",1,0,6300,6300,,,,
"Bozal canasta n 6",1,0,6840,6840,,,,
"Bozal canasta n2",2,0,4140,4140,,,,
"Bozal de alambre Pitt bull",1,0,26640,26640,,,,
"Bravecto gato 250 mg",1,21,36511,44178,,,,
"Bravecto hasta 10 kg",1,21,31632,38275,,,,
"Bravecto hasta 20 kg",2,21,44499,53844,,,,
"bravecto hasta 4.5 kg",1,21,30000,36300,,,,
"Bravecto hasta 40 kg",2,21,48682,58905,,,,
"Bravecto hasta 56 kg",2,21,54839,66356,,,,
"Bromuro de Potasio blister",7,0,6120,6120,,,,
"bruler jerky liver pack",2,0,5280,5280,,,,
"Bruler Stick long - esofago largo",6,0,2376,2376,,,,
"bruler stick mini",6,0,5250,5250,,,,
butterfly,1,0,107,107,,,,
"Caja Navideña",8,21,4140,5009,,,,
"Calcivet 150 grs",4,21,6331,7660,,,,
"Calmvet - Meloxicam 0.5 mg",185,0,1250,1250,,,,
"Caña con cascabel gato",1,0,3250,3250,,,,
"cardina mango madera grande",1,0,5940,5940,,,,
"Cardina mango madera mediana",1,0,4840,4840,,,,
"cardina mango madera mini",1,0,2700,2700,,,,
"cardina plastica chica",1,0,2880,2880,,,,
"cardina plastica grande",1,0,3960,3960,,,,
"cardina plastica mediana",1,0,3420,3420,,,,
"Cateter amarillo 24 G",50,0,464,464,,,,
"cateter azul 22 G",100,0,448,448,,,,
"Catit Creamy Pollo",9,21,5904,7144,,,,
"Cefalexina 125 - PYO DERM 125",18,21,3533,4275,,,,
"Cefalexina 500 blister",25,21,4225,5112,,,,
"Cepillo a vapor con mango",2,0,8500,8500,,,,
"cepillo de dientes x 2unidades",1,0,3060,3060,,,,
"Cepillo de Silicona para Baño",2,0,3960,3960,,,,
"Cepillo de vapor - pet brush",3,0,9000,9000,,,,
"cepillo plástico",2,0,4140,4140,,,,
"cepillo plastico doble grande",3,0,4410,4410,,,,
"Cepillo Saca Pelo",2,0,4356,4356,,,,
"Chifle mordillo pesa",3,0,3420,3420,,,,
"CIDAR GATO 1,5 A 3 KG",2,21,14598,17663,,,,
"CIDAR PERRO DE 1,5 A 3 KG",9,21,14598,17663,,,,
"CIDAR PERRO DE 25,1 A 50 KG",3,21,27015,32689,,,,
"CIDAR PERRO DE 3,1 A 6 KG",8,21,15617,18897,,,,
"CIDAR PERRO DE 6,1 A 12 KG",3,21,17292,20923,,,,
"Cinta hipoalergenica",2,0,0,0,,,,
"Cintas tela",2,0,0,0,,,,
"Cinturón de seguridad",4,0,8460,8460,,,,
"Cinturon de seguridad doble",1,0,15300,15300,,,,
"Clamoxil  LA 100 ml",1,21,40894,49481,,,,
"Colirama gotas oftalm",2,21,8271,10007,,,,
"collar ahorque metalico 2,5 x 50 cm",2,0,7800,7800,,,,
"Collar de Ahorque Metalico 2,5 x 50 cm",1,0,4400,4400,,,,
"Collar de Ahorque Metalico 4 x 65 cm",1,0,7800,7800,,,,
"Collar Ecthol gato",1,21,13437,16259,,,,
"Collar Ecthol grande",1,21,14819,17931,,,,
"Collar Gato Brillo Holografico",11,0,1350,1350,,,,
"collar gato fantasia",6,0,1938,1938,,,,
"collar gato mono pet class",2,0,7200,7200,,,,
"COLLAR HALO GRANDE HOLLIDAY",2,21,23267,28153,,,,
"collar isabelino 0",2,0,2245,2245,,,,
"collar liso Nª2",3,0,2500,2500,,,,
"collar liso Nª3",3,0,2700,2700,,,,
"collar liso Nª4",5,0,2700,2700,,,,
"collar liso Nª5",10,0,3340,3340,,,,
"collar liso Nª6",9,0,3340,3340,,,,
"collar liso Nª7",4,0,5500,5500,,,,
"collar liso Nª8",5,0,5500,5500,,,,
"Collar metalico Ahorque Grande/candado",2,0,9900,9900,,,,
"collar pañuelo",6,0,4200,4200,,,,
"Collar Regulable (gato -perro)",12,0,1650,1650,,,,
"collares elatizados",6,0,1548,1548,,,,
"Comedero Acero 34 cm",1,0,13320,13320,,,,
"comedero acero grande 26 cm",2,0,7905,7905,,,,
"Comedero Cara de Gato Grande",3,0,1620,1620,,,,
"comedero cara de gato mini 10 cm",4,0,1440,1440,,,,
"Comedero Cuadrado Chico",1,0,1600,1600,,,,
"Comedero Cuadrado Grande",1,0,3600,3600,,,,
"Comedero de Acero Chico",1,0,4140,4140,,,,
"comedero de gato chato",13,0,1430,1430,,,,
"comedero de plástico redondo grande",5,0,3800,3800,,,,
"Comedero doble gato",3,0,6490,6490,,,,
"Comedero Elevado Chico",2,0,6300,6300,,,,
"Comedero Jumbo de Acero",1,0,12580,12580,,,,
"comedero pez",1,0,2250,2250,,,,
"comedero plastico redondo mediano",5,0,2800,2800,,,,
"Comedero Redondo Gato Chico",5,0,1800,1800,,,,
"Conjunto Arnes de Paseo",2,0,7800,7800,,,,
"Conjunto Arnes de Paseo Talle S/M/L",3,0,7020,7020,,,,
"Contal 150 blister",7,21,4888,5914,,,,
"Correa adiest 2 cm x 2 mt",1,0,6000,6000,,,,
"Correa de adiest 2 cm x 3 mt",1,0,7200,7200,,,,
"correa de adiest 3 cm x 2 mt",1,0,8300,8300,,,,
"correa de adiestr 2 cm x 5 mt",1,0,9200,9200,,,,
"correa de adiestr 3 cm x 3 mt",1,0,10700,10700,,,,
"correa lisa Nª3",6,0,7800,7800,,,,
"correa lisa Nª4",6,0,8800,8800,,,,
"Correas Extensibles",2,0,20400,20400,,,,
"Crema de Ordeñe 100",12,0,5227,5227,,,,
"Crema de patas",6,0,6613,6613,,,,
"Critical Nutricion lata 340 grs",3,21,8932,10807,,,,
"Cubre asiento auto",2,0,21600,21600,,,,
"Cucha de 1 mt, numero 4",1,0,43890,43890,,,,
"Cucha numero 3",1,0,39600,39600,,,,
"cuchas L",1,0,30600,30600,,,,
"cuchas numero 2",2,0,33908,33908,,,,
"cuchas s, numero 1",2,0,24750,24750,,,,
"Curabichera Galmetrin x 440",3,21,9215,11150,,,,
"Dermapet Antiseborreico",1,21,10725,12977,,,,
"Dermapet sobre shampoo",18,21,3780,4574,,,,
"Dermapet sobre suavizante",20,21,3780,4574,,,,
"Dermotal Pomo chico",3,21,5525,6685,,,,
"Dexametasona I:A: Vetue x 100 ml",2,21,11096,13426,,,,
"Dipirona Chinfield x 100 ml",1,21,14589,17653,,,,
"Donas Cuero 3-5",5,0,2160,2160,,,,
"Doxiciclina Kualcos 100 mg",6,21,3861,4672,,,,
"Doxiciclina Kualcos 200 mg blister",5,21,5278,6386,,,,
"Doxiciclina Kualcos 50 mg",98,21,2340,2831,,,,
"Emulsión Oftálmica Ciclosporina 2%",1,21,15599,18875,,,,
"Enrofloxacina 100 - 1/2 blister",32,21,1470,1779,,,,
"Enrofloxacina 100 blister",16,21,3084,3732,,,,
"Enrofloxacina 200",8,21,3740,4525,,,,
"Enrofloxacina 200 - 1/2 blister",23,21,1995,2414,,,,
"Enrofloxacina 50 - 1/2 blister",2,21,1400,1694,,,,
"Enrofloxacina 50 blister",15,21,2145,2595,,,,
"Enzimax x 20 comp",1,21,9329,11288,,,,
"Enzimol caja",4,21,5622,6802,,,,
"Epitelizante gotas oftalm",2,21,6795,8222,,,,
"Fleanet Ag plata",1,21,9372,11341,,,,
"Flexapet x 30 comp",1,21,30952,37452,,,,
"Flura Max 10-20",1,21,15619,18899,,,,
"Flura Max 2-4,5 kg",4,21,11943,14451,,,,
"Flura Max 20-40",4,21,23580,28532,,,,
"Flura max 4,6-10",4,21,13322,16119,,,,
"Flura Max mas 40 kg",3,21,37186,44995,,,,
"Fluravet Mini",3,0,17000,17000,,,,
"Flurbiprofeno gotas oftalm",2,21,8763,10603,,,,
"Frisbee de Goma (CH29)",1,0,5600,5600,,,,
"Frontline plus",2,21,9125,11041,,,,
"Furosemida  40 mg",10,21,2393,2895,,,,
"Furovet 40 blister",2.5,0,3000,3000,,,,
"Gallina chica",1,0,3125,3125,,,,
"gasas 10 x 10",1,0,14627,14627,,,,
"gasas 20 x 20",2,0,14627,14627,,,,
Gatolac,2,21,10188,12328,,,,
"Griseofulvina 250 blister",8,21,7082,8570,,,,
"guante esteril 6.5",1,0,500,500,,,,
"guante esteril 8",1,0,500,500,,,,
"guantes latex S",5,0,4879,4879,,,,
"Guantes M",3,0,3932,3932,,,,
"Guantes saca pelos",2,0,5220,5220,,,,
"Hepatcel 92 Vetue x 100ml",1,21,7989,9667,,,,
"Hueso  5-6",1,0,2160,2160,,,,
"Hueso 7-8",2,0,4356,4356,,,,
"Hueso 8-9",3,0,5436,5436,,,,
"Hueso cuero 10/11",1,0,8010,8010,,,,
"Hueso cuero 9/10",1,0,6534,6534,,,,
"Hueso de Cuero 1/4",2,0,600,600,,,,
"Hueso de Cuero 3/4",3,0,1360,1360,,,,
"Hueso de Cuero forma circulo",2,0,1020,1020,,,,
"Hueso de Cuero largo",1,0,850,850,,,,
"Hueso de Cuero suelto sin forma aparente",6,0,595,595,,,,
"Hueso de tela",1,0,850,850,,,,
"Hueso masticable caucho",1,0,2508,2508,,,,
"hueso porta bolsa",5,0,2565,2565,,,,
iodopovidona,11,21,5040,6098,,,,
"jeringas 1 ml",2,0,5752,5752,,,,
"jeringas 10 ml",1,0,8653,8653,,,,
"Jeringas 3 ml",2,0,6711,6711,,,,
"jeringas 5 ml",5,0,6225,6225,,,,
"juguete chifle mediano",2,0,2960,2960,,,,
"Karsivan comprimidos",60,21,1732,2096,,,,
"Kit dedal",2,0,2520,2520,,,,
